,loss_train,loss_test,experiment,depth,width,batch_size,lr,gamma,name
0,296.02349853515625,340.5811767578125,1,20,100,128,0.001,0.01,x4.4
1,271.8268737792969,336.08306884765625,1,20,100,128,0.001,0.01,x4.4
2,279.3404846191406,328.8773498535156,1,20,100,128,0.001,0.01,x4.4
3,263.145263671875,319.4704284667969,1,20,100,128,0.001,0.01,x4.4
4,253.937744140625,308.2284851074219,1,20,100,128,0.001,0.01,x4.4
5,260.98052978515625,295.4809265136719,1,20,100,128,0.001,0.01,x4.4
6,233.99978637695312,281.61846923828125,1,20,100,128,0.001,0.01,x4.4
7,251.87759399414062,266.8380126953125,1,20,100,128,0.001,0.01,x4.4
8,206.90480041503906,251.66983032226562,1,20,100,128,0.001,0.01,x4.4
9,194.68359375,236.2740936279297,1,20,100,128,0.001,0.01,x4.4
10,173.76126098632812,220.8955535888672,1,20,100,128,0.001,0.01,x4.4
11,181.7669677734375,205.5948944091797,1,20,100,128,0.001,0.01,x4.4
12,145.31710815429688,190.60533142089844,1,20,100,128,0.001,0.01,x4.4
13,139.58645629882812,175.96694946289062,1,20,100,128,0.001,0.01,x4.4
14,166.72821044921875,161.463134765625,1,20,100,128,0.001,0.01,x4.4
15,118.58734893798828,147.16046142578125,1,20,100,128,0.001,0.01,x4.4
16,121.9815902709961,132.90777587890625,1,20,100,128,0.001,0.01,x4.4
17,107.97332763671875,118.57818603515625,1,20,100,128,0.001,0.01,x4.4
18,97.58787536621094,104.10031127929688,1,20,100,128,0.001,0.01,x4.4
19,78.53684997558594,89.44671630859375,1,20,100,128,0.001,0.01,x4.4
20,71.30390167236328,74.90201568603516,1,20,100,128,0.001,0.01,x4.4
21,55.754150390625,61.67292404174805,1,20,100,128,0.001,0.01,x4.4
22,47.54021453857422,51.0232048034668,1,20,100,128,0.001,0.01,x4.4
23,39.63102722167969,44.881683349609375,1,20,100,128,0.001,0.01,x4.4
24,42.620277404785156,43.84471130371094,1,20,100,128,0.001,0.01,x4.4
25,42.604496002197266,45.7300910949707,1,20,100,128,0.001,0.01,x4.4
26,46.691497802734375,46.88361358642578,1,20,100,128,0.001,0.01,x4.4
27,44.12734603881836,45.799957275390625,1,20,100,128,0.001,0.01,x4.4
28,57.78473663330078,44.19658279418945,1,20,100,128,0.001,0.01,x4.4
29,46.1522102355957,43.747989654541016,1,20,100,128,0.001,0.01,x4.4
30,31.256010055541992,44.7097282409668,1,20,100,128,0.001,0.01,x4.4
31,43.70561599731445,46.3018684387207,1,20,100,128,0.001,0.01,x4.4
32,39.399288177490234,48.112491607666016,1,20,100,128,0.001,0.01,x4.4
33,35.307708740234375,49.88792419433594,1,20,100,128,0.001,0.01,x4.4
34,40.119693756103516,51.37255859375,1,20,100,128,0.001,0.01,x4.4
35,53.08876419067383,52.37306594848633,1,20,100,128,0.001,0.01,x4.4
36,33.419090270996094,53.02039337158203,1,20,100,128,0.001,0.01,x4.4
37,56.78057861328125,53.22867965698242,1,20,100,128,0.001,0.01,x4.4
38,29.993730545043945,53.29847717285156,1,20,100,128,0.001,0.01,x4.4
39,49.85698699951172,53.122039794921875,1,20,100,128,0.001,0.01,x4.4
40,41.57105255126953,52.75772476196289,1,20,100,128,0.001,0.01,x4.4
41,45.38097381591797,52.19808578491211,1,20,100,128,0.001,0.01,x4.4
42,40.85487365722656,51.473758697509766,1,20,100,128,0.001,0.01,x4.4
43,57.392112731933594,50.6098518371582,1,20,100,128,0.001,0.01,x4.4
44,52.12675094604492,49.73909378051758,1,20,100,128,0.001,0.01,x4.4
