,loss_train,loss_test,experiment,depth,width,batch_size,lr,gamma,name
0,316.3616943359375,343.3155517578125,1,20,100,128,0.001,0.0,g0.0
1,293.8612976074219,342.25640869140625,1,20,100,128,0.001,0.0,g0.0
2,268.874267578125,340.7801513671875,1,20,100,128,0.001,0.0,g0.0
3,319.4548645019531,338.8905944824219,1,20,100,128,0.001,0.0,g0.0
4,285.72705078125,336.65972900390625,1,20,100,128,0.001,0.0,g0.0
5,308.1570739746094,334.1002197265625,1,20,100,128,0.001,0.0,g0.0
6,326.80487060546875,331.2362365722656,1,20,100,128,0.001,0.0,g0.0
7,284.1369934082031,328.1419677734375,1,20,100,128,0.001,0.0,g0.0
8,273.28900146484375,324.86309814453125,1,20,100,128,0.001,0.0,g0.0
9,264.98834228515625,321.4302978515625,1,20,100,128,0.001,0.0,g0.0
10,259.65740966796875,317.86285400390625,1,20,100,128,0.001,0.0,g0.0
11,285.735595703125,314.1590270996094,1,20,100,128,0.001,0.0,g0.0
12,275.1014404296875,310.3460998535156,1,20,100,128,0.001,0.0,g0.0
13,260.5550537109375,306.4508056640625,1,20,100,128,0.001,0.0,g0.0
14,255.02975463867188,302.49237060546875,1,20,100,128,0.001,0.0,g0.0
15,258.4005126953125,298.48876953125,1,20,100,128,0.001,0.0,g0.0
16,269.4984130859375,294.4341125488281,1,20,100,128,0.001,0.0,g0.0
17,251.70225524902344,290.3455810546875,1,20,100,128,0.001,0.0,g0.0
18,238.64154052734375,286.2497253417969,1,20,100,128,0.001,0.0,g0.0
19,229.5177001953125,282.1600646972656,1,20,100,128,0.001,0.0,g0.0
20,217.39205932617188,278.0875244140625,1,20,100,128,0.001,0.0,g0.0
21,230.41278076171875,274.02392578125,1,20,100,128,0.001,0.0,g0.0
22,224.01109313964844,269.9858093261719,1,20,100,128,0.001,0.0,g0.0
23,232.84402465820312,265.9648742675781,1,20,100,128,0.001,0.0,g0.0
24,228.81068420410156,261.9541931152344,1,20,100,128,0.001,0.0,g0.0
25,194.35507202148438,257.98907470703125,1,20,100,128,0.001,0.0,g0.0
26,229.33123779296875,254.04379272460938,1,20,100,128,0.001,0.0,g0.0
27,194.68260192871094,250.13241577148438,1,20,100,128,0.001,0.0,g0.0
28,192.61143493652344,246.2482452392578,1,20,100,128,0.001,0.0,g0.0
29,194.38999938964844,242.3969268798828,1,20,100,128,0.001,0.0,g0.0
30,212.7799072265625,238.55726623535156,1,20,100,128,0.001,0.0,g0.0
31,197.3189239501953,234.7345428466797,1,20,100,128,0.001,0.0,g0.0
32,183.6692352294922,230.93222045898438,1,20,100,128,0.001,0.0,g0.0
