,loss_train,loss_test,experiment,depth,width,batch_size,lr,gamma,name,dgd_window
0,301.0827941894531,312.8431701660156,1,1,1024,128,0.001,0.1,l1_h1024_bs128_lr0.001_g0.1_w1_m0.9,1
1,293.41796875,314.1416931152344,1,1,1024,128,0.001,0.1,l1_h1024_bs128_lr0.001_g0.1_w1_m0.9,1
2,308.271728515625,312.48870849609375,1,1,1024,128,0.001,0.1,l1_h1024_bs128_lr0.001_g0.1_w1_m0.9,1
3,289.205078125,309.7937316894531,1,1,1024,128,0.001,0.1,l1_h1024_bs128_lr0.001_g0.1_w1_m0.9,1
4,254.05258178710938,306.4444580078125,1,1,1024,128,0.001,0.1,l1_h1024_bs128_lr0.001_g0.1_w1_m0.9,1
5,316.8456115722656,303.80218505859375,1,1,1024,128,0.001,0.1,l1_h1024_bs128_lr0.001_g0.1_w1_m0.9,1
6,306.57415771484375,300.6061096191406,1,1,1024,128,0.001,0.1,l1_h1024_bs128_lr0.001_g0.1_w1_m0.9,1
7,305.8431396484375,297.29913330078125,1,1,1024,128,0.001,0.1,l1_h1024_bs128_lr0.001_g0.1_w1_m0.9,1
8,231.49295043945312,293.10504150390625,1,1,1024,128,0.001,0.1,l1_h1024_bs128_lr0.001_g0.1_w1_m0.9,1
9,253.5154571533203,289.07568359375,1,1,1024,128,0.001,0.1,l1_h1024_bs128_lr0.001_g0.1_w1_m0.9,1
10,250.32281494140625,285.0378723144531,1,1,1024,128,0.001,0.1,l1_h1024_bs128_lr0.001_g0.1_w1_m0.9,1
11,212.36819458007812,280.6700134277344,1,1,1024,128,0.001,0.1,l1_h1024_bs128_lr0.001_g0.1_w1_m0.9,1
12,311.23406982421875,277.0434265136719,1,1,1024,128,0.001,0.1,l1_h1024_bs128_lr0.001_g0.1_w1_m0.9,1
13,249.72630310058594,272.9073486328125,1,1,1024,128,0.001,0.1,l1_h1024_bs128_lr0.001_g0.1_w1_m0.9,1
14,210.80764770507812,268.4084167480469,1,1,1024,128,0.001,0.1,l1_h1024_bs128_lr0.001_g0.1_w1_m0.9,1
